platform,domain,cat,tier,gate,public_profile,tier_label,deep_link_assigned,signup_url,profile_url_pattern,required_fields,char_limits,image_sizes,link_policy,link_slots,rel_observed,meta_robots,canonical,review_time,fee,kyc_docs,status,profile_url,link_present,rel,indexable,last_verified,leads,in_platform_rank_for_primary_term,badge_status,response_time_avg,reviews_count,review_avg,entry_orders,core_rate,last_rate_change,research_source_url,notes
Upwork,upwork.com,MKT,1,ID+review,Y,Tier 1,/case-study/carinfo-45m-mau,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Contra,contra.com,MKT,1,OTP,Y,Tier 1,/case-study/seo-0-to-100k,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Fiverr Pro,fiverr.com,MKT,2,VET,Y,Tier 2,/case-study/insurance-funnel-1200-growth,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Fiverr,fiverr.com,MKT,3,OTP+ID,Y,Tier 3,/case-study/programmatic-seo-calculators,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
PeoplePerHour,peopleperhour.com,MKT,2,VET-light,Y,Tier 2,/case-study/rank-1-fintech-keywords,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Freelancer.com,freelancer.com,MKT,3,ID,Y,Tier 3,/case-study/seo-moat-remittance,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Guru,guru.com,MKT,3,OTP,Y,Tier 3,/case-study/growth-loop-repeat-users,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Truelancer,truelancer.com,MKT,3,OTP+ID,Y,Tier 3,/case-study/user-acquisition-cac-30,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Workana,workana.com,MKT,3,OTP,Y,Tier 3,/consulting/consumer-app-growth-consultant,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
FreeUp,freeup.net,MKT,3,VET,N,Tier 3,,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Twine,twine.net,MKT,3,OTP,Y,Tier 3,/consulting/fintech-product-consultant,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Toptal,toptal.com,VET,1,VET,N,Tier 1,,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
Braintrust,usebraintrust.com,VET,1,VET,N,Tier 1,,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
A.Team,a.team,VET,1,VET,N,Tier 1,,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
MarketerHire,marketerhire.com,VET,1,VET,N,Tier 1,,,,,,,,,,,,,,,todo,,,,,,,,,,,,,,,RESEARCH BLOCKED: platform domain unreachable from build environment
